SCC133,Indian (Veg),veg,Paneer Punjabi,170,https://rahool.in/temp/sct/src/webp/133sw_Paneer Punjabi.webp,
SCC134,Indian (Veg),veg,Paneer Lababdar,170,https://rahool.in/temp/sct/src/webp/134sw_Paneer Lababdar.webp,
SCC135,Indian (Veg),veg,Dal Makhni,110,https://rahool.in/temp/sct/src/webp/135sw_Dal Makhni.webp,
SCC136,Indian (Veg),veg,Veg Jalfrezi,170,https://rahool.in/temp/sct/src/webp/136sw_Veg Jalfrezi.webp,
SCC137,Indian (Veg),veg,Paneer Korma,180,https://rahool.in/temp/sct/src/webp/137sw_Paneer Korma.webp,
SCC138,Indian (Veg),veg,Paneer Tikka Butter Masala (8PC),190,https://rahool.in/temp/sct/src/webp/138sw_Paneer Tikka Butter Masala (8PC).webp,
SCC139,Indian (Non-Veg),non-veg,Chicken Curry (2PC),155,https://rahool.in/temp/sct/src/webp/139sw_Chicken Curry (2PC).webp,
SCC140,Indian (Non-Veg),non-veg,Chicken Masala (2PC),160,https://rahool.in/temp/sct/src/webp/140sw_Chicken Masala (2PC).webp,
SCC141,Indian (Non-Veg),non-veg,Chicken Kadai (2PC),160,https://rahool.in/temp/sct/src/webp/141sw_Chicken Kadai (2PC).webp,
SCC142,Indian (Non-Veg),non-veg,Chicken Handi (2PC),160,https://rahool.in/temp/sct/src/webp/142sw_Chicken Handi (2PC).webp,
SCC143,Indian (Non-Veg),non-veg,Chicken Punjabi (2PC),165,https://rahool.in/temp/sct/src/webp/143sw_Chicken Punjabi (2PC).webp,
SCC144,Indian (Non-Veg),non-veg,Chicken Lababdar (2PC),210,https://rahool.in/temp/sct/src/webp/144sw_Chicken Lababdar (2PC).webp,
SCC145,Indian (Non-Veg),non-veg,Chicken Chatpata (2PC),160,https://rahool.in/temp/sct/src/webp/145sw_Chicken Chatpata (2PC).webp,
SCC146,Indian (Non-Veg),non-veg,Chicken Butter Masala (2PC),160,https://rahool.in/temp/sct/src/webp/146sw_Chicken Butter Masala (2PC).webp,
SCC147,Indian (Non-Veg),non-veg,Chicken Tikka Butter Masala (8PC),210,https://rahool.in/temp/sct/src/webp/147sw_Chicken Tikka Butter Masala (8PC).webp,
